format_id,extensions,magic_or_probe,native_unit,required_alignment,optional_target_alignment,random_access,in_place_rewrite,conversion_class,roundtrip_target,integrity,loss_risk,adapter_state,notes
ZIP,"zip,apk","PK signatures + central directory","byte offsets","format-defined offsets; no universal page","4 bytes generic; 4/16/64 KiB profile for uncompressed shared objects",yes,conditional,"archive/container",R1_STRUCTURAL,"CRC32; optional signature external",medium,DESIGN,"APK signing order is policy-sensitive; local header extra fields may change"
ISO9660,iso,"volume descriptor sequence","logical block from descriptor","logical block","target media/profile",yes,no,"filesystem image",R1_STRUCTURAL,"descriptor/path validation + hashes",high,DESIGN,"Do not hardcode every ISO to one dialect; boot/UDF extensions require adapters"
TAR_PAX,"tar,tar.*","512-byte headers + checksum","512 bytes","512 bytes","record blocking factor",stream,append-oriented,"archive",R1_STRUCTURAL,"header checksum + external hashes",medium,DESIGN,"Payloads are padded to 512-byte boundaries; compression wrapper is a separate layer"
AR,"a,ar,deb member","global magic + dialect","member records","dialect-defined; commonly even boundary","none unless target policy",yes,rebuild,"archive/object library",R1_STRUCTURAL,"member/index validation + hashes",medium,DESIGN,"Dialect, long names, thin archives and symbol index must be explicit"
CAB,cab,"MSCF header","internal offsets/blocks","format offsets","no global page invented",yes,rebuild,"compressed archive",R2_SEMANTIC,"format checks + external hashes",medium,TOKEN_VAZIO_CODEC,"Codec and spanning-cabinet support not implemented"
7Z,7z,"7z signature header","streams/header offsets","format offsets","no global page invented",yes,rebuild,"compressed archive",R2_SEMANTIC,"header CRC + external hashes",medium,TOKEN_VAZIO_CODEC,"Use adapter/SDK; solid archives change cost and round-trip properties"
VHD,vhd,"footer cookie + structures","512-byte sector model","format structures and sectors","host profile",yes,conditional,"virtual disk image",R1_STRUCTURAL,"footer/header checksums + hashes",high,DESIGN,"Fixed, dynamic and differencing images are separate capabilities"
VHDX,vhdx,"file identifier + dual headers","logical/physical sectors + blocks","metadata declares 512 or 4096 sectors","host/profile block layout",yes,conditional,"virtual disk image",R1_STRUCTURAL,"CRC32C structures + hashes",high,DESIGN,"Distinct adapter from classic VHD"
RAW,"img,raw,bin","no authoritative magic","profile sector size","profile-defined 512/4096/custom","profile-defined",yes,yes,"opaque disk/blob",R0_EXACT_BYTES,"external hashes",high,DESIGN,"Semantics require manifest; extension alone is insufficient"
RAFDISK,rafdisk,"versioned manifest + image mapping","sector/extents","manifest-defined","profile-defined",yes,staged,"RAFAELIA disk map/image",R0_EXACT_BYTES,"SHA-256/SHA3/BLAKE3/Merkle policy",low,DESIGN,"Device writing prohibited by default; V1 targets regular files"
ARG,arg,"TOKEN_VAZIO","TOKEN_VAZIO","TOKEN_VAZIO","TOKEN_VAZIO",unknown,no,"unknown",R4_PROHIBITED,"none",unknown,TOKEN_VAZIO_TERM_UNRESOLVED,"Confirm whether the intended term is ar, .arg, or another format"
